Date,Region,Product,Price,Quantity,Discount,Sales
2023-01-01,East,Tablet,48105,4,0.19,155860
2023-01-02,West,Laptop,40580,6,0.21,192349
2023-01-03,North,Laptop,38588,5,0.17,160140
2023-01-04,East,Accessories,13716,8,0.0,109728
2023-01-05,East,Tablet,36047,1,0.1,32442
2023-01-06,West,Laptop,31971,1,0.16,26855
2023-01-07,North,Accessories,17808,6,0.03,103642
2023-01-08,North,Tablet,28032,2,0.11,49896
2023-01-09,East,Accessories,34849,5,0.01,172502
2023-01-10,South,Phone,45945,1,0.02,45026
2023-01-11,East,Laptop,6213,7,0.12,38272
2023-01-12,East,Phone,49907,1,0.04,47910
2023-01-13,East,Tablet,5304,4,0.17,17609
2023-01-14,East,Phone,10636,9,0.21,75621
2023-01-15,West,Phone,509,1,0.24,386
2023-01-16,North,Tablet,19755,4,0.06,74278
2023-01-17,West,Accessories,24293,6,0.05,138470
2023-01-18,West,Phone,30048,6,0.03,174879
2023-01-19,West,Accessories,38392,8,0.19,248780
2023-01-20,East,Phone,1515,1,0.21,1196
2023-01-21,South,Accessories,28212,7,0.01,195509
2023-01-22,North,Tablet,35461,1,0.28,25531
2023-01-23,South,Phone,8915,7,0.02,61156
2023-01-24,West,Tablet,46818,3,0.16,117981
2023-01-25,West,Phone,47780,8,0.21,301969
2023-01-26,South,Tablet,24333,3,0.26,54019
2023-01-27,South,Tablet,4658,1,0.21,3679
2023-01-28,South,Phone,20809,8,0.24,126518
2023-01-29,West,Phone,7470,3,0.1,20169
2023-01-30,West,Phone,7438,2,0.24,11305
2023-01-31,North,Laptop,21668,1,0.02,21234
2023-02-01,North,Accessories,47040,3,0.27,103017
2023-02-02,West,Laptop,20884,2,0.16,35085
2023-02-03,South,Laptop,18517,2,0.25,27775
2023-02-04,South,Tablet,10844,6,0.14,55955
2023-02-05,North,Phone,40534,1,0.19,32832
2023-02-06,West,Accessories,9202,2,0.16,15459
2023-02-07,North,Tablet,884,6,0.22,4137
2023-02-08,North,Laptop,904,3,0.02,2657
2023-02-09,East,Phone,41443,4,0.02,162456
2023-02-10,East,Tablet,48426,1,0.07,45036
2023-02-11,East,Phone,29689,8,0.05,225636
2023-02-12,South,Tablet,13263,7,0.26,68702
2023-02-13,West,Phone,18884,7,0.07,122934
2023-02-14,West,Laptop,33106,3,0.29,70515
2023-02-15,West,Accessories,10360,3,0.1,27972
2023-02-16,West,Laptop,39257,2,0.05,74588
2023-02-17,East,Accessories,15606,1,0.24,11860
2023-02-18,South,Phone,24074,7,0.2,134814
2023-02-19,South,Tablet,24024,7,0.15,142942
2023-02-20,East,Laptop,4136,2,0.17,6865
2023-02-21,South,Accessories,11416,7,0.22,62331
2023-02-22,East,Laptop,5309,8,0.07,39498
2023-02-23,West,Accessories,32701,1,0.3,22890
